"Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Broad_Bean_Origin","is_bitter"
"A. Morin","Agua Grande",1876,2016,63,"France",3.75,"Sao Tome",FALSE
"A. Morin","Kpime",1676,2015,70,"France",2.75,"Togo",FALSE
"A. Morin","Atsane",1676,2015,70,"France",3,"Togo",FALSE
"A. Morin","Akata",1680,2015,70,"France",3.5,"Togo",FALSE
"A. Morin","Quilla",1704,2015,70,"France",3.5,"Peru",FALSE
"A. Morin","Carenero",1315,2014,70,"France",2.75,"Venezuela",FALSE
"A. Morin","Cuba",1315,2014,70,"France",3.5,"Cuba",FALSE
"A. Morin","Sur del Lago",1315,2014,70,"France",3.5,"Venezuela",FALSE
"A. Morin","Puerto Cabello",1319,2014,70,"France",3.75,"Venezuela",FALSE
"A. Morin","Pablino",1319,2014,70,"France",4,"Peru",FALSE
"A. Morin","Panama",1011,2013,70,"France",2.75,"Panama",FALSE
"A. Morin","Madagascar",1011,2013,70,"France",3,"Madagascar",FALSE
"A. Morin","Brazil",1011,2013,70,"France",3.25,"Brazil",FALSE
"A. Morin","Equateur",1011,2013,70,"France",3.75,"Ecuador",FALSE
"A. Morin","Colombie",1015,2013,70,"France",2.75,"Colombia",FALSE
"A. Morin","Birmanie",1015,2013,70,"France",3,"Burma",FALSE
"A. Morin","Papua New Guinea",1015,2013,70,"France",3.25,"Papua New Guinea",FALSE
"A. Morin","Chuao",1015,2013,70,"France",4,"Venezuela",FALSE
"A. Morin","Piura",1019,2013,70,"France",3.25,"Peru",FALSE
"A. Morin","Chanchamayo Province",1019,2013,70,"France",3.5,"Peru",FALSE
"A. Morin","Chanchamayo Province",1019,2013,63,"France",4,"Peru",FALSE
"A. Morin","Bolivia",797,2012,70,"France",3.5,"Bolivia",FALSE
"A. Morin","Peru",797,2012,63,"France",3.75,"Peru",FALSE
"Acalli","Chulucanas, El Platanal",1462,2015,70,"U.S.A.",3.75,"Peru",FALSE
"Acalli","Tumbes, Norandino",1470,2015,70,"U.S.A.",3.75,"Peru",FALSE
"Adi","Vanua Levu",705,2011,60,"Fiji",2.75,"Fiji",FALSE
"Adi","Vanua Levu, Toto-A",705,2011,80,"Fiji",3.25,"Fiji",TRUE
"Adi","Vanua Levu",705,2011,88,"Fiji",3.5,"Fiji",TRUE
"Adi","Vanua Levu, Ami-Ami-CA",705,2011,72,"Fiji",3.5,"Fiji",TRUE
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,55,"Ecuador",2.75,"Ecuador",FALSE
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,70,"Ecuador",3,"Ecuador",FALSE
"Ah Cacao","Tabasco",316,2009,70,"Mexico",3,"Mexico",FALSE
"Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,75,"Switzerland",3.75,"Indonesia",TRUE
"Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,75,"Switzerland",2.75,"Madagascar",TRUE
"Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,75,"Switzerland",2.75,"Brazil",TRUE
"Alain Ducasse","Trinite",1215,2014,65,"France",2.75,"Trinidad",FALSE
"Alain Ducasse","Vietnam",1215,2014,75,"France",2.75,"Vietnam",TRUE
"Alain Ducasse","Madagascar",1215,2014,75,"France",3,"Madagascar",TRUE
"Alain Ducasse","Chuao",1061,2013,75,"France",2.5,"Venezuela",TRUE
"Alain Ducasse","Piura, Perou",1173,2013,75,"France",2.5,"Peru",TRUE
"Alexandre","Winak Coop, Napo",1944,2017,70,"Netherlands",3.5,"Ecuador",FALSE
"Alexandre","La Dalia, Matagalpa",1944,2017,70,"Netherlands",3.5,"Nicaragua",FALSE
"Alexandre","Tien Giang",1944,2017,70,"Netherlands",3.5,"Vietnam",FALSE
"Alexandre","Makwale Village, Kyela",1944,2017,70,"Netherlands",3.5,"Tanzania",FALSE
"Altus aka Cao Artisan","Momotombo",1728,2016,60,"U.S.A.",2.75,"Nicaragua",FALSE
"Altus aka Cao Artisan","Acopagro",1728,2016,60,"U.S.A.",3,"Peru",FALSE
"Altus aka Cao Artisan","CIAAB Coop",1732,2016,60,"U.S.A.",2.5,"Bolivia",FALSE
"Altus aka Cao Artisan","Villa Andina",1732,2016,60,"U.S.A.",2.5,"Peru",FALSE
"Altus aka Cao Artisan","Gruppo Salinas",1732,2016,60,"U.S.A.",2.75,"Ecuador",FALSE
"Altus aka Cao Artisan","Sur del Lago",1125,2013,60,"U.S.A.",2.5,"Venezuela",FALSE
"Altus aka Cao Artisan","Conacado",1125,2013,60,"U.S.A.",3,"Dominican Republic",FALSE
"Altus aka Cao Artisan","Bolivia",1129,2013,80,"U.S.A.",3.25,"Bolivia",TRUE
"Altus aka Cao Artisan","Bolivia",1133,2013,60,"U.S.A.",3,"Bolivia",FALSE
"Altus aka Cao Artisan","Peru",1133,2013,60,"U.S.A.",3.25,"Peru",FALSE
"Amano","Morobe",725,2011,70,"U.S.A.",4,"Papua New Guinea",FALSE
"Amano","Dos Rios",470,2010,70,"U.S.A.",3.75,"Dominican Republic",FALSE
"Amano","Guayas",470,2010,70,"U.S.A.",4,"Ecuador",FALSE
"Amano","Chuao",544,2010,70,"U.S.A.",3,"Venezuela",FALSE
"Amano","Montanya",363,2009,70,"U.S.A.",3,"Venezuela",FALSE
"Amano","Bali, Jembrana",304,2008,70,"U.S.A.",2.75,"Indonesia",FALSE
"Amano","Madagascar",129,2007,70,"U.S.A.",3.5,"Madagascar",FALSE
"Amano","Cuyagua",147,2007,70,"U.S.A.",3,"Venezuela",FALSE
"Amano","Ocumare",175,2007,70,"U.S.A.",3.75,"Venezuela",FALSE
"Amatller (Simon Coll)","Ghana",322,2009,70,"Spain",3,"Ghana",FALSE
"Amatller (Simon Coll)","Ecuador",327,2009,70,"Spain",2.75,"Ecuador",FALSE
"Amatller (Simon Coll)","Ecuador",464,2009,85,"Spain",2.75,"Ecuador",TRUE
"Amatller (Simon Coll)","Ghana",464,2009,85,"Spain",3,"Ghana",TRUE
"Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72,"Peru",3.25,"Peru",TRUE
"Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,73,"Peru",3.5,"Peru",TRUE
"Ambrosia","Belize",1494,2015,64,"Canada",3,"Belize",FALSE
"Ambrosia","Madagascar",1494,2015,66,"Canada",3.25,"Madagascar",FALSE
"Ambrosia","Dominican Republic",1498,2015,75,"Canada",3.25,"Dominican Republic",TRUE
"Ambrosia","Papua New Guinea",1498,2015,63,"Canada",3.25,"Papua New Guinea",FALSE
